date|event
1938|DuMont markets electronic television receiver for the home
1938|Radio drama 'War of the Worlds' causes national panic in the USA
1938|38 die in Terminal Hotel fire (Atlanta GA)
1938|AAU's decides to continue linear measuring system over metric
1938|Adolph Hitler demands self-determination for Sudeten Germans in Czech
1938|Al Capp, cartoonist of Lil' Abner creates Sadie Hawkins Day
1938|Anschluß-Austria annexed by Nazi Germany
1938|Anti-Jewish riots break out in Dabrowa Poland
1938|Artur Seyss-Inquart replaces Kurt von Schuschnigg as Chancellor of Austria
1938|Austria becomes a state of Germany
1938|Austrian chancellor Schuschnigg visits Hitler in Berchtesgaden
1938|Banning speech on anti-fascism demonstration in Amsterdam
1938|Benny Goodman refuses to play Carnegie Hall when black members of his band were barred from performing
1938|Boeing 314 Clipper flying boat 1st flown (Eddie Allen)
1938|Britain & France recognize Franco government in Spain
1938|British Foreign Secretary Eden resigns, says PM Chamberlain appeased Germany
1938|British Lord Halifax becomes Foreign Minister
1938|British PM Chamberlain visits Hitler at Berchtesgarden
1938|Bronze memorial statue of Henry Hudson erected in the Bronx
1938|Chlorophyll patented by Benjamin Grushkin
1938|Civil Aeronautics Authority (US) established
1938|Concentration camp at Flossenbürg goes into use
1938|Construction on Lake Washington Floating Bridge, Seattle, begins
1938|Don Budge becomes 1st tennis player to grand slam
1938|Dorothy Lathrop wins the 1st Caldecott Medal (kid books author)
1938|Douglas Hyde (a protestant) becomes 1st president of Eire
1938|Du Pont begins commercial production of nylon toothbrush bristles
1938|"DuPont announces its new synthetic fiber will be called ""nylon"""
1938|Dutch government starts obligatory unemployment insurance
1938|"Dutch Minister of Justice Goseling calls fugitives of Nazi-Germany ""undesired strangers"""
1938|"Dutch writer Maurits Dekker sentenced to 50 days for ""offending a friendly head of state"" (Hitler)"
1938|Eduard van Beinum becomes world's 1st conductor at Concert Hall
1938|Electronic television system patented, VK Zworykin
1938|"Ella Fitzgerald records ""A-Tisket, A-Tasket"""
1938|English soccer team beats Nazi-Germany, 6-3
1938|Final game at Phila's Baker Bowl, Giants beat Phils 14-1
1938|Find headless Mad Butcher victim Cleveland
1938|Foundation for Tel Aviv harbor laid
1938|Frances Moulton elected 1st woman president of a US national bank
1938|George E.T. Eyston sets world auto speed record at 357.5 MPH
1938|Germany annexes Sudetenland (1/3 of Czechoslovakia)
1938|Germany demands all Jewish passports stamped with the letter 'J'
1938|GM began mass production of diesel engines
1938|Graf Zeppelin II, the world's largest airship, makes ita maiden flight
1938|Groundbreaking begins for Jefferson Memorial in Wash DC
1938|Hans Engnestangen skates world record 500 meter (41.8 seconds)
1938|Henry Armstrong won his 3rd concurrent boxing championship
1938|Hermann Goering announces he wants Madagascar as a Jewish homeland
1938|Highest temperature for December in US recorded in La Mesa CA
1938|"Hindemiths opera ""Mathis der Maler"" premieres in Zürich"
1938|Hitler seizes control of German army and puts Nazi personnel in key posts
1938|House Committee on Un-American Activities begins work
1938|Hurricane (winds 183 MPH) in New England kills 700
1938|"Ian Hay's ""Bachelor Born"", premieres in New York City NY"
1938|Italy beats Hungary 4-1 in soccer's 3rd World Cup at Paris
1938|Italy passes their own version of the anti-Jewish Nuremberg laws
1938|John Cobb sets world auto speed record at 350.2 MPH (lasts 1 day)
1938|Judge Kenesaw Mountain Landis frees 74 St L Cardinals minor leaguers
1938|King Carol II of Romania drives out dictator Goga
1938|King Zog of Albania marries Countess Geraldine of Hungary
1938|Landslides & floods cause over 200 deaths (Los Angeles CA)
1938|March of Dimes is established to fight polio
1938|Marineland opens in Florida-1st aquarium
1938|The Munich Agreement forced Czechoslovakia to give territory to Germany
1938|National Society for the Legalization of Euthanasia formed (NY)
1938|Nazi Germany invades Austria (Anschluss)
1938|New York 1st requires serological blood tests of pregnant women
1938|Northwestern U awards honorary degree to dummy Charlie McCarthy
1938|The ocean liner Queen Elizabeth launched from Glasgow
1938|Only time brothers hit back-to-back HRs (Lloyd & Paul Waner, Pitts)
1938|"Orson Welles panics a nation with broadcast of ""War of the Worlds"""
1938|Ottawa Roughriders score on 5-man, 4-lateral, 65-yard punt return
1938|Our Town, by Thornton Wilder opens on Broadway
1938|"Paul Osborn's ""On Borrowed Time"", premieres in New York NY"
1938|"Paul Vincent Carroll's ""White Seed"", premieres in New York City NY"
1938|Paul-Henri Spak forms red coalition of Belgium
1938|President Cardena of Mexico nationalizes US & British oil companies
1938|Pulitzer prize awarded to Thornton Wilder (Our Town)
1938|Radio quiz show 'Information Please!' debuts on NBC Blue Network
1938|Sandoz Labs manufactures LSD (lysergic acid diethylamide)
1938|School bus & train collide in Salt Lake City Utah
1938|Seabiscuit beats War Admiral in a match race at Pimlico
1938|Soviet arctic ice research station North Pole 1 evacuated, Denmark
1938|"Stravinsky's ""Dumbarton Oaks"" premieres in Washington DC"
1938|Superman Comics launched
1938|Supreme Soviet elects Michail Kalinin as presidium chairman
1938|The first animal breeding society forms (New Jersey)
1938|The first black woman legislator, Crystal Bird Fauset of Philadelphia
1938|The first passenger ship equipped with radar
1938|"The first play telecast with original Broadway cast, ""Susan & God"""
1938|The first public experimental demonstration of Baird color TV (London)
1938|The first telecast of an unscheduled event (fire), W2XBT, NY
1938|The first US bred horse (Battleship) to win Grand National Steeplechase
1938|The first US law requiring medical tests for marriage licenses (NY)
1938|The first Xerox copy made
1938|Time capsule, to be opened in 6939, buried at World's Fair in NYC (capsule contained a woman's hat, man's pipe & 1,100' of microfilm)
1938|Trials of Soviet leaders begins in the Soviet Union
1938|US Congress approves Vinson Naval Act, which funds a two-ocean navy
1938|US Federal minimum wage law guarantees workers 40_ per hour
1938|US President Franklin Delano Roosevelt dedicates Thousand Islands Bridge connecting US & Canada
1938|V.K. Zworykin receives patent on the Iconoscope TV system
1938|Vatican recognizes Franco-Spain
1938|American photographer Walker Evans has his first showing at the Museum of Modern Art, the basis for his book 'American Photographs'
1938|Chester Carlson invents Xerography
1938|Foundation of the International Federation of Film Archives (FIAF)
1938|Leni Riefenstahl completes her two-part 'Olympia', a film record of the 1936 Berlin Olympics
1938|Sergei Eisenstein and Sergei Prokofiev collaborate on 'Alexander Nevsky'
1938|Super Kodak Six 20-Autoexposure is developed
1938|Passage of the US Federal Food, Drug, and Cosmetic Act
1938|First total artificial hip replacement
1938|A DuPont chemist named Roy Plunkett discovered Teflon, which today is widely used in kitchenware. Plunkett discovered the material accidentally by pumping freon gas into a cylinder left in cold storage overnight. The gas dissipated into a solid white powder. Teflon is unique because it is impervious to all acids in addition to both cold and heat
25 Feb 1939|The first Anderson bomb shelter in Britain erected in an Islington garden
2 Mar 1939|Pope Pius XII crowned in Vatican ceremonies
15 Mar 1939|Germany occupies and then dissolves the Republic of Czechoslovakia
15 Mar 1939|Hitler occupies Bohemia & Moravia (Czechoslovakia)
16 Mar 1939|Hugary annexes Ruthenia
22 Mar 1939|Hitler's Germany & Mussolini's Italy announced an alliance known as the Rome-Berlin Axis and sign the 'Pact of Steel'
28 Mar 1939|Spanish Civil War ends, Madrid falls to Francisco Franco
1 Apr 1939|The US recognizes the Franco government in Spain at end of Spanish civil war
7 Apr 1939|Italy annexes Albania
19 May 1939|Winston Churchill signs British-Russian anti-Nazi pact
2 Aug 1939|Albert Einstein - Teller and Szilard send a letter to President Roosevelt informing him of German atomic research and the potential for a bomb which prompts Roosevelt to form a special committee to investigate the military implications of atomic research
23 Aug 1939|Germany & USSR sign 10-year non-aggression pact
1 Sep 1939|Germany invades Western Poland and takes Danzig
3 Sep 1939|Britain declares war on Germany. France follows 6 hours later quickly joined by Australia, New Zealand, South Africa & Canada
10 Sep 1939|Canada declares war on Germany, and the Battle of the Atlantic begins
17 Sep 1939|USSR invades Eastern Poland
17 Sep 1939|Soviets invade Poland
25 Sep 1939|Versailles Peace Treaty forgot to include Andorra, so Andorra & Germany finally sign an official treaty ending WW I
27 Sep 1939|Warsaw, Poland, surrenders to Germans after 19 days of resistance
29 Sep 1939|Soviet-German treaty agree on 4th partition of Poland (WW II) & gives Lithuania to the USSR
1 Oct 1939|Winston Chruchill refers to Soviet policy as 'a riddle wrapped in a mystery inside an enigma'
8 Oct 1939|Germany annexes western Poland and incorporates it into Germany
10 Oct 1939|Nazis begin mass murder of Warsaw Jews with deportation to Lublin ghetto
8 Nov 1939|An assassination attempt on Hitler fails.
8 Jan 1940|Britain's WWII rationing of bacon, butter & sugar began
11 Feb 1940|Russia begins new offensive against Finland attacking the Finnish Mannerheim Line
12 Mar 1940|Finland signs cease fire treaty with Russia and Finland gives up Karelische Isthmus
9 Apr 1940|Denmark and Norway are invaded by Germany
10 May 1940|German troops enter Holland, Belgium and Luxembourg
10 May 1940|Neville Chamberlain resigns and is succeeded by Winston Churchill as British Prime Minister (until 1945)
15 May 1940|Dutch army surrenders to Germany and demobilizes
28 May 1940|Belgium surrenders to Germany, King Leopold III gives himself up
28 May 1940|British & French begin evacuation of 300,000 troops from Dunkirk (Operation Dynamo)
May 1940|Nazi bombs Rotterdam (600-900 dead) in Holland
10 Jun 1940|Mussolini joins Hitler in Germany's war and Italy declares war against France & Britain
14 Jun 1940|German forces occupied Paris during WW II
22 Jun 1940|France falls to Nazi Germany an armistice is signed and France is disarmed
27 Jun 1940|End of USSR experimental calendar; Gregorian readopted
10 Jul 1940|Battle of Britain began as Germany launches air attacks
21 Aug 1940|Leon Trotsky is killed with an ice pick in Mexico City by Ramon Mercader an agent of Joseph Stalin
1940|Corson, MacKenzie and Segre synthasise element 85, Astatine (At)
1940|Donald Griffin and Robert Galambos announce their discovery of sonar echolocation by bats
1940|MacMillan and Abelson discover element 93 (neptunium) which was the first transuranian element
1940|Steroids discovered in yam (Dioscorea) proved useful for the manufacture of cortisone and sexual hormones and consequently the cost of hormones dropped from $80 to $2 per gram in the US
1940|'Fantasia' introduces stereo sound to American public
1940|"12th Academy Awards: ""Gone with the Wind"", Robert Donat & Vivien Leigh win"
1940|140 Palestinian Jews die as German planes bomb their ship
1940|2 German officers make emergency landing in Belgium
1940|"21 ""not neutral"" Nazis & communists arrested in Netherlands"
1940|27 killed, 15 injured when truck full of migrant workers collides with a train outside McAllen TX
1940|49 die & 200 injured when Hercules Powder Co plant explodes (NJ)
1940|Admiral Furstner departs to England
1940|Adolf Kiefer swims world record 100 yards backstroke (58.8 seconds)
1940|Adolph Hitler & Benito Mussolini confer at Brenner Pass in the Alps
1940|Allied counter attack at Atrecht North-France
1940|All-India-Muslim League calls for a Muslim homeland
1940|Amsterdam time becomes MET (Middle European Time)
1940|Arthur Seyss-Inquart installed as Reich Commissioner of Hague Netherlands
1940|AVRO-chairman Willem Vogt fires all Jewish employees
1940|Battle of France begins in WW II
1940|Benjamin Oliver Davis Sr named 1st black general in regular army
1940|Blizzard strikes midwest, 154 die (69 on boat on Great Lakes)
1940|Blizzard strikes midwestern US killing over 100
1940|British bomb factory at Breda
1940|British destroyers board German Altmark off Norway
1940|British liner Empress loaded with refugees for Canada, sunk
1940|British Local Defense Volunteers (Home Guard) forms
1940|British merchant vessel fleet is armed
1940|British Prime Minister Winston Churchill says of the Royal Air Force, 'Never in the field of human conflict was so much owed by so many to so few'
1940|British railroads nationalized
1940|British search plane finds German Altmark off Norway
1940|British troops 1st major offensive in North Africa during WW II
1940|British-French troops capture Narvik Norway
1940|Caproni-Campini CC-2, experimental jet plane, maiden flight (Milan)
1940|Chicago Tribune sponsors Ted Lyons Day (White Sox pitcher)
1940|Commissioner Kenesaw Landis gives free agency to 91 Detroit Tigers
1940|Commuinist govt installed in Lithuania
1940|Cor Jongert wins 6th Dutch 11 Cities Skating Race
1940|Cornelious Warmerdam became the 1st man to pole vault 15 ft
1940|Dance hall fires kills 198 (Natchez Miss)
1940|Deadline for Warsaw Jews to move into the Warsaw Ghetto
1940|Discovery of element 93, neptunium, announced
1940|During WW II, German planes destroyed most of Coventry, England
1940|Dutch Premier De Geer begins working with Nazis
1940|Dutch Queen Wilhelmina flees to England
1940|Dutch Queen Wilhelmina speaks on BBC radio
1940|Dutch torpedo boat Johan van Galen sinks
1940|Dutch-Indies Governor Van Starkenborch proclaims end to state of siege
1940|Ernest Hemingway & Benjamin Glazer premiere in New York NY
1940|Failed British air raid on German base at Sylt
1940|FDR & Canadian PM William M King agree to joint defense commission
1940|Finland surrenders to Russia during WWII, giving up Karelische Isthmus
1940|Finnish offensive at Suomossalmi against Russia
1940|Finnish troops vacate Koivisto island
1940|Foreign correspondents in Netherlands under censorship
1940|France asks Germany for terms of surrender in WW II
1940|"Frances Langford records ""When You Wish Upon a Star"""
1940|Frank Sinatra's singing debut in Indianapolis (Tommy Dorsey Orchestra)
1940|"Frederic from G & S ""Pirates of Penzance"" finally released by pirate"
1940|French counter attack at Péronne under General De Gaulle
1940|French fortress of Verdun captured by Germans
1940|French government of Daladier, falls
1940|French mariners occupy St Maarten
1940|French marines stationed on Aruba
1940|French troops arrive in Zealand/Brabant Netherlands
1940|General Guderians tanks reach The Channel (British expeditionary army)
1940|General Winckelman replaces General Reijnders as Dutch supreme commander
1940|General-Major Bernard Montgomery leaves Duinkerken
1940|George Matesky Mad Bomber's first time bomb
1940|German Air Force blitz London for 1st of 57 consecutive nights
1940|German air raid on British fleet base Scapa Flow
1940|German armour division moves into Northern France
1940|German breakthrough at Grebbelinie
1940|German breakthrough at Sedan
1940|German forces enter Paris
1940|German tanks conquer Moerdijkbrug
1940|German tanks reach Atrecht France
1940|German troops conquer Boulogne
1940|German troops occupy Amsterdam, General Winkelman surrenders
1940|German U-Boot torpedoes Dutch trade ship Arendskerk (Eagle's Church)
1940|Germany begins dropping incendiary bombs on London (WW II)
1940|Germany invades Norway & Denmark during WW II
1940|Germany occupies Brussels, Belgium & begins invasion of France
1940|"Glenn Miller & his Orchestra record ""Tuxedo Junction"""
1940|"Glenn Miller records ""Pennsylvania 6-5000"""
1940|Golden Gate International Expo reopens
1940|Gone with the Wind, wins 8 Oscars
1940|Göring says 100-200 church bells enough for Germany, smelt the rest
1940|Greece successfully resists Italy's attack
1940|Green Bay Packers become 1st NFL team to travel by plane
1940|Hassett's second 122 of the game for Victoria can't stop a New South Wales win
1940|Hattie McDaniel becomes 1st black woman to win an Oscar
1940|Himmler orders building of Auschwitz concentration camp, at Katowice
1940|"Hitler affirms General von Rundstedts ""Stopbevel"""
1940|Igor Sikorsky unveils his helicopter invention
1940|Illegal Jewish immigrants to Haifa are deported to Mauritius
1940|In The Mood by Glenn Miller hits #1
1940|In WWII, Germans capture Ostend & Ypres in Belgium & Lille in France
1940|Italy declares war on France & Britain during WW II
1940|"J Thurber & E Nugent's ""Male Animal"", premieres in New York City NY"
1940|Japan eliminates US terms (strike, play ball) from baseball
1940|Karelo-Finnish SSR becomes 12th Soviet republic (until 1956)
1940|Largest amount paid for a stamp ($45,000 for 1_ 1856 British Guiana)
1940|"Larry Clinton & his Orchestra record ""Limehouse Blues"""
1940|"Lewis & Hamilton's musical ""Two for the Show"", premieres in New York NY"
1940|Lithuanian SSR is accepted into the USSR
1940|Lodtz, 1st large ghetto established by Nazis in Poland
1940|Lord Beaverbrook appointed British minister of aircraft production
1940|Lottery for 1st US WW II draftees held; #158 drawn 1st
1940|German conquest of France began by crossing Meuse River
1940|Nazi decree forbids gentile women to work in Jewish homes
1940|Nazi decrees the establishment of Jewish ghetto in Lodz Poland
1940|Nazis capture General Dutch Persbureau (ANP)
1940|Nazis forbid non-professional auto workers
1940|Nazis forbid Polish Jews to travel on trains
1940|Nazis force 500,000 Warsaw Jews to live in walled ghetto
1940|New York World's Fair reopens
1940|Norway surrenders to Germany
1940|Norwegian Government in exile forms in London
1940|Paris evacuated before the German advance
1940|Patria steamer sinks killing 200, outside of Haifa
1940|Paul Reynoud becomes French premier
1940|Pennsylvania Turnpike, pioneer toll thruway, opens
1940|Pianist Ignaz Paderewski becomes premier of Polish government in exile
1940|British Premier Winston Churchill flies to Paris in France
1940|British Premier Winston Churchill returns to London from Paris
1940|Pulitzer prize awarded to John Steinbeck (Grapes of Wrath)
1940|Rear Adm Joseph Taussig testifies before US Senate Naval Affairs Committee that war with Japan is inevitable (He was right)
1940|Reynaud forms French Government
1940|Romania cedes Bessarabia to Soviet Union
1940|Russian troops conquer Lasi Island
1940|Samuel T Rayburn of Tx elected speaker of the House
1940|Sergei Prokofiev's ballet Romeo & Juliet premieres in Leningrad
1940|Russian armies conquer Tuppura Island Finland
1940|Tacoma Narrows (Galloping Gertie) Bridge collapses, Wash
1940|12th Olympic games are cancelled
1940|The first $64 Question, 'Take It or Leave It', on CBS Radio
1940|The first 75,000 men called to armed forces duty during peacetime
1940|The first electron microscope demonstrated (RCA), Philadelphia, Pa
1940|The first parachute wedding
1940|The first showing of high definition color TV
1940|The first successful helicopter flight in US: Vought-Sikorsky US-300
1940|The first synthetic rubber tire exhibited Akron Oh
1940|"The first US merchant ship ""Booker T Washington"" commanded by a black captain (Hugh Mulzac), launched at Wilmington Delaware"
1940|The first US telecast from an airplane, New York NY
1940|Tide turns in Battle of Britain in WW II, RAF beats Luftwaffe
1940|Tom & Jerry created by Hanna & Barbera debut by MGM
1940|US 40 hour work week goes into effect (Fair Labor Standards of 1938)
1940|US Air Defense Command established at Mitchell Field, Long Island NY
1940|US Black leaders protest discrimination in US armed forces
1940|US Congress passes 1st peace-time conscription bill (draft law)
1940|US FCC hears the first transmission of FM radio with a clear, static-free signal
1940|US Fish & Wildlife Service established
1940|US gives Britain 50 destroyers in exchange for Newfoundland base lease
1940|US passes Alien Registration Act requiring Aliens to register
1940|US President FDR (D) wins unprecedented 3rd term beating Wendell Willkie (R)
1940|"Walt Disney's ""Fantasia"" released"
1940|"Walt Disney's 2nd feature-length movie, ""Pinocchio"", premieres (New York NY)"
1940|"Walt Disney's animated movie ""Pinocchio"", released"
1940|Warsaw Ghetto established
1940|Winston Churchill says 'I have nothing to offer but blood, toil, tears and sweat
1940|British Prime Minister Winston Churchill urges perseverance so that future generations would remember that 'this was their finest hour'
1940|Alfred Hitchcock's 'Rebecca', is his first Hollywood film following years of outstanding work in Britain
1940|Ansco, Agfa, and Sakura Natural colour films are introduced
1940|First of the Bing Crosby / Bob Hope / Dorothy Lamour 'road' movies, 'Road to Singapore'
1940|'The Grapes of Wrath', John Ford's panoramic adaptation of John Steinbeck's novel deals with the Great Depression, debuts on film
1940|Florey and Chain develop penicillin as an antibiotic
1940|Landsteiner discovers the Rhesus factor in blood
1940|Franklin Delano is re-elected for his third term as US President
1940|Tenzin Gyatso, the fourteenth Dalai Lama, is enthroned at Lhasa
7 Mar 1941|British troops invade Abyssinia (Ethiopia)
27 Mar 1941|British troops take Keren and Hasara in Ethiopia
5 Apr 1941|Italian-held Addis Ababa capitulates to British & Ethiopian forces
6 Apr 1941|German army invades Yugoslavia under Hitler's Directive 27
11 Apr 1941|Germany blitzes Coventry, England
22 Apr 1941|British forces leave Greece
10 May 1941|Adolph Hitler's deputy Rudolf Hess parachutes into Scotland
10 May 1941|Britain's House of Commons & Holborn Theater destroyed in London blitz
15 May 1941|Frank Whittle's jet-propelled Gloster E28 took its first flight and travelled at speeds of 350 mph
20 May 1941|German paratroopers invade Crete
24 May 1941|Bismarck sinks British battle cruiser HMS Hood off the coast of Greenland, 1,416 die and only 3 survive
27 May 1941|German battleship Bismarck sunk by British naval force
8 Jun 1941|British and Free French invade Syria
22 Jun 1941|German army invades Russia
1 Jul 1941|Following US FCC approval, regular US scheduled commercial TV broadcasts begin
13 Jul 1941|The 'Manhatten Project' is founded to develop atomic bomb
25 Aug 1941|Britain and Russia invade Iran
13 Oct 1941|British RAF bomb Neurenberg
12 Nov 1941|"British aircraft carrier ""Ark Royal"" sank in Mediterranean off Gibraltar"
7 Dec 1941|Japan bombs Pearl Harbour and as a result the United States enters World War II
8 Dec 1941|Britain and the US declare war on Japan
11 Dec 1941|US declares war on Germany and Italy
25 Dec 1941|Japan announces surrender of British-Canadian garrison at Hong Kong
1941|Andrew McKellar uses the excitation of CN doublet lines to measure that the 'effective temperature of space' is about 2.3 Kelvin
1941|Lev Davidovich Landau develops the theory of superfluids
1941|MacMillan, Kennedy, Seaborg and Wahl, discover element 94, Plutonium (Pu), the second transuranian element
1941|Mckellar and Adams observe cosmic cyanogen at temperature of CBR but the significance not recognised
1941|Rossi and Hall use Muon decay to verify relativistic time dilation
1941|Stereo is installed in a Moscow movie theater
1941|FCC sets US TV standards
1941|CBS and NBC start commercial transmission - WW II intervenes
1941|Goldmark at CBS experiments with electronic colour TV
1941|Microwave transmission
1941|Zuse's Z3 is the first computer controlled by software
1941|"""Captain America"" appears in a comic book"
1941|"""Citizen Kane"", directed by & starring Orson Welles, premieres in New York"
1941|18 Geuzen resistance fighters sentenced to death in The Hague
1941|2 Fokker's employees flee Nazi occupied Netherlands to England
1941|3,600 Parisian Jews arrested
1941|3,721 Jews are buried alive at Babi Yar ravine (near Kiev) Ukraine
1941|300 Montgomery, San Francisco opens as new Bank of America HQ
1941|43 Geuzen resistance fighter trial opens in the Hague
1941|5,000 drown in a storm at Ganges Delta region in India
1941|Britain lands 50,000 soldiers in Greece
1941|551 Jews are shot in Kishnev ghetto in Romania
1941|6 Parisian synagogues are bombed
1941|6,000 Jews exterminated in pogrom in Bucharest Romania
1941|9 Allied govts pledged adherence to Atlantic Charter
1941|All Jews over age 6 in German territories ordered to wear a star
1941|Allied troops begin evacuating Kreta
1941|American forces on Wake Island surrender to Japanese
1941|Anti Nazi meeting at Noordermarkt Amsterdam
1941|Anti-German demonstration in Haarlem Netherlands
1941|"Anti-Nazi ""Het Parool"" begins publishing in Netherlands"
1941|"Archer's ""The Christian Calendar & the Gregorian Reform"" published"
1941|Ark Royal airplane sights German battleship Bismarck
1941|"Arthur T ""Bomber"" Harris becomes British Air Marshal"
1941|Atlantic Charter signed by Franklin D Roosavelt and Winston Churchill
1941|Australia and Britain attack Tobruk Libya
1941|Australian troops conquer Derna in Libya
1941|Battle of Beda Fomm Italian 10th army destroyed
1941|Béla Bartók's 6th string quartet, premieres in New York City NY
1941|Blizzard hits North Dakota & Minnesota killing 60
1941|Britain leases defense bases in Trinidad to US for 99 years
1941|British Air Marshal Richard Peirse resigns
1941|British army begins evacuation of Crete
1941|British Army enters Baghdad, chasing pro-German coup government
1941|British attack Halfaya-pass & Fort Capuzzo in Egypt & Libya
1941|"British communist newspaper ""Daily Worker"" banned"
1941|British offensive in Eritrea
1941|British tanks occupy Maus Libya
1941|British troops attack Baghdad
1941|British troops conquer Bengazi, Libya
1941|British troops conquer El Agheila
1941|British troops defeat British Somalia
1941|British troops occupy Kassalaf Sudan
1941|British/Australian troops capture Tobruk from Italians
1941|British/Australian troops conquer Bardia Lybia
1941|British-Italian dogfight above Albania
1941|Canada & US acquire air bases in Newfoundland (99 year lease)
1941|"Charles Lindbergh, charges ""the British, the Jewish & the Roosevelt administration"" are trying to get the US into WW II"
1941|China declares war on Japan, Germany & Italy
1941|"Citizen Register reports ""Hostile planes reported nearing Westchester"""
1941|Cornerstone of Bank of America building at 300 Montgomery laid
1941|Dmitri Shostakovitch receives the Stalin Prize
1941|"Duke Ellington 1st records ""Take the A Train"""
1941|Dutch Premier De Geer returns from Lisbon to Netherlands
1941|Emperor Haile Selassie returns to Addis Ababa
1941|Entire Jewish community of Meretsch, Lithuania is exterminated
1941|February strike against persecution of Jews, in Amsterdam
1941|Finland enters WW II against Russia
1941|Finland invades Karelia
1941|Former Dutch PM Colijn says Netherlands Indies not ready for independence
1941|Former Dutch premier De Geer flies to Berlin
1941|"Frank Sinatra & Tommy Dorsey Orchestra record ""Everything Happens to Me"""
1941|French Marshal Henri Petain gave full support to Nazi Germany
1941|German Africa Corps lands in Tripoli, Libya
1941|German airforce occupies airport at Maleme Kreta
1941|German assault on El Agheila Libya
1941|German assault on Tobruk
1941|German counter offensive in North-Africa
1941|German occupiers confiscate AVRO studios in Netherlands
1941|German occupiers forbids Jews access to beach & swimming pools
1941|German occupiers in Holland forbid bicycle taxis
1941|German occupying army do a house search in Paris looking for Jews
1941|German Q-ship Pinguin sinks in Indian Ocean
1941|German troops invade Bulgaria
1941|German troops led by Rommel begin retreating in North Africa
1941|German troops occupy El Agheila Libya
1941|Germany & Italy declare war on US
1941|Germany advances within 60 miles (96 K) of Moscow
1941|Germany bans all Catholic publications
1941|Germany begins a counter offensive in Africa
1941|Germany declares war on Soviet Union during WW II
1941|Germany's drive to take Moscow halted
1941|Glenn Miller begins work on his 1st movie for 20th Century Fox
1941|"Glenn Miller records ""Chattanooga Choo Choo"" for RCA"
1941|Grand Coulee Dam in Washington goes into operation
1941|Great British convoy marches into Alexandria
1941|Ground broken for Boeing Plant II (ex-AFLC Plant 13) Wichita KS
1941|Ground broken for Union Square Garage, San Francisco
1941|Himmler inspects Auschwitz concentration camp
1941|I G Farben decides building Buna-Werke in Auschwitz Concentration Camp
1941|Italian army under General Aosta surrenders to Britain at Amba Alagi Ethiopia
1941|Italian counter offensive in Albania
1941|"Japan bombs Manila even though it was declared an ""open city"""
1941|Japanese armored barges cross Strait of Johore to attack Singapore
1941|Japanese occupy Guam
1941|Jewish Council for Amsterdam forms, under Ascher/Cohen
1941|Jewish veterans honor their dead
1941|Jews are expelled from Hungarian Ruthenia
1941|Jews of Vilna Poland are confined to a ghetto
1941|"Joseph Kesselring's ""Arsenic & Old Lace"", premieres in New York City NY"
1941|Joseph Stalin became the premier of Russia
1941|Last great German air attack on Great Britain (Birmingham)
1941|Lebanon gains independence from France with a constitution that includes Muslim-Christian power-sharing
1941|Lieutenant-General Erwin Rommel arrives in Tripoli
1941|Maiden flight by Canada's Avro Lancaster military plane
1941|Martin Bormann succeeds Rudolf Hess as Hitler's deputy
1941|National Gallery of Art opens in Washington DC
1941|Navy takes over Treasure Island (SF Bay)
1941|"Nazi collaborators destroy pro-Jewish café Alcazar Amsterdam (Alcazar refused to hang ""No Entry for Jews"" signs in front of cafe)"
1941|Nazi leaders attack Dutch Jewish Council
1941|Nazi occupied Netherlands layoff Jewish journalists
1941|Nazi occupiers in Netherlands forbid Jewish music
1941|Nazi occupiers of Holland forbid Jewish owned companies
1941|Nazi SS begin rounding up Jews of Amsterdam
1941|Nazi-German/Yugoslav pact drawn
1941|Nazis forbid Dutch Organization of Actors (NOT)
1941|Nazis kill 800 Jewish women at Shkudvil Lithuania
1941|Nazis order Polish Jews barred from using public transportation
1941|Nazis raid Koco Amsterdam & round up 429 young Jews for deportation
1941|Netherlands begins taxing wages
1941|Netherlands NSB-leader Mussert visits Göring in Berlin
1941|New Nazi battleship Bismarck leaves Gdynia, Poland
1941|Max Blokzijl begins Nazi propaganda on Dutch radio
1941|NYC Council agrees to build Idlewild (Kennedy) Airport in Queens
1941|Peruvian agent Rivera-Schreibér warns of Japanese assault on Pearl Harbor
1941|Princess Irene Brigade established in Congleton
1941|Pulitzer prize awarded to Robert E Sherwood (There shall be no night)
1941|Queen Wilhelmina on Radio Orange warns against treason
1941|Resistance fighters counter d'Estienne d'Orves/Jan Doornik, 1st meet
1941|Romania breaks relations with Netherlands
1941|Russian General Zhukov appointed chief of General staff
1941|Russian govt moves from Moscow to Volga as Nazis close in on Moscow
1941|San Francisco 1st blackout, at 6:15 PM
1941|Sarawak occupied by the Japanese
1941|Sea battle at Cape Matapan: British fleet under Cunningham defeats Italy
1941|Serbian Prince Paul visits Hitler
1941|"Sergei Rachmaninov's ""Symphonic Dances"" premieres in Philadelphia"
1941|Seyss-Inquart begins registration of Jews
1941|Siege of Leningrad by Nazi troops began during WW II
1941|Singer Johan Heesters visits Dachau concentration camp
1941|Sister Elizabeth Kenny new treatment for infantile paralysis approved
1941|The first anti semitic measures in Serbia
1941|The first anti-Jewish measures in Bulgaria
1941|The first British turbojet flies
1941|The first commercial extraction of magnesium from seawater, Freeport TX
1941|The first German ship in WW2 captured by US ship (Busko)
1941|The first Gold record presented (Glenn Miller-Chattanooga Choo Choo)
